length,rank,count,pct,sequence,short
5,8,50,1.65,B:Q16|W:D4|B:Q3|W:D17|B:C3,Q16·D4·Q3·D17·C3
5,9,46,1.52,B:R16|W:D17|B:D4|W:Q4|B:C15,R16·D17·D4·Q4·C15
5,10,42,1.39,B:Q16|W:D4|B:Q3|W:D16|B:O17,Q16·D4·Q3·D16·O17
5,11,41,1.36,B:Q16|W:D16|B:Q4|W:D4|B:C3,Q16·D16·Q4·D4·C3
5,12,41,1.36,B:Q16|W:D16|B:R4|W:D3|B:C5,Q16·D16·R4·D3·C5
5,13,41,1.36,B:Q16|W:D4|B:C3|W:D3|B:C4,Q16·D4·C3·D3·C4
5,14,41,1.36,B:Q16|W:D4|B:Q4|W:D17|B:C3,Q16·D4·Q4·D17·C3
5,15,39,1.29,B:Q16|W:D16|B:Q3|W:D4|B:C3,Q16·D16·Q3·D4·C3
5,16,39,1.29,B:Q16|W:D4|B:Q4|W:D16|B:C3,Q16·D4·Q4·D16·C3
5,17,39,1.29,B:Q16|W:D4|B:R4|W:D17|B:P4,Q16·D4·R4·D17·P4
5,18,38,1.26,B:Q16|W:D16|B:R4|W:D4|B:P4,Q16·D16·R4·D4·P4
5,19,37,1.22,B:Q16|W:D4|B:Q4|W:D16|B:F3,Q16·D4·Q4·D16·F3
5,20,37,1.22,B:R16|W:D16|B:Q3|W:D3|B:P17,R16·D16·Q3·D3·P17
6,1,59,1.95,B:Q16|W:D4|B:Q3|W:D16|B:C3|W:D3,Q16·D4·Q3·D16·C3·D3
6,2,55,1.82,B:R16|W:D16|B:Q3|W:D4|B:P17|W:R5,R16·D16·Q3·D4·P17·R5
6,3,40,1.32,B:R16|W:D16|B:Q3|W:D4|B:O16|W:Q5,R16·D16·Q3·D4·O16·Q5
6,4,37,1.22,B:Q16|W:D16|B:Q4|W:D4|B:C3|W:D3,Q16·D16·Q4·D4·C3·D3
6,5,37,1.22,B:R16|W:D16|B:Q3|W:D3|B:O16|W:R5,R16·D16·Q3·D3·O16·R5
6,6,37,1.22,B:R16|W:D16|B:Q3|W:D4|B:O16|W:R5,R16·D16·Q3·D4·O16·R5
6,7,35,1.16,B:Q16|W:D4|B:Q4|W:D16|B:C3|W:D3,Q16·D4·Q4·D16·C3·D3
6,8,35,1.16,B:Q16|W:D4|B:Q3|W:D16|B:O17|W:R5,Q16·D4·Q3·D16·O17·R5
6,9,34,1.12,B:Q16|W:D4|B:C3|W:D3|B:C4|W:D5,Q16·D4·C3·D3·C4·D5
6,10,34,1.12,B:R16|W:D16|B:Q3|W:D3|B:P17|W:R5,R16·D16·Q3·D3·P17·R5
6,11,32,1.06,B:Q16|W:D16|B:Q3|W:D4|B:C3|W:D3,Q16·D16·Q3·D4·C3·D3
6,12,32,1.06,B:R16|W:D4|B:C16|W:R4|B:O16|W:E17,R16·D4·C16·R4·O16·E17
6,13,31,1.03,B:R16|W:D16|B:C4|W:Q4|B:F3|W:P17,R16·D16·C4·Q4·F3·P17
6,14,29,0.96,B:Q16|W:D4|B:Q3|W:D17|B:C3|W:C4,Q16·D4·Q3·D17·C3·C4
6,15,29,0.96,B:Q16|W:D4|B:Q4|W:D17|B:C15|W:E16,Q16·D4·Q4·D17·C15·E16
6,16,28,0.93,B:Q16|W:D16|B:Q4|W:D3|B:C17|W:C16,Q16·D16·Q4·D3·C17·C16
6,17,27,0.89,B:Q16|W:D4|B:Q4|W:D17|B:C3|W:C4,Q16·D4·Q4·D17·C3·C4
6,18,24,0.79,B:R16|W:D16|B:Q3|W:D3|B:C17|W:C16,R16·D16·Q3·D3·C17·C16
6,19,23,0.76,B:Q16|W:D16|B:Q3|W:D4|B:O17|W:R5,Q16·D16·Q3·D4·O17·R5
6,20,23,0.76,B:R16|W:D17|B:D4|W:Q4|B:C15|W:P17,R16·D17·D4·Q4·C15·P17
7,1,59,1.95,B:Q16|W:D4|B:Q3|W:D16|B:C3|W:D3|B:C4,Q16·D4·Q3·D16·C3·D3·C4
7,2,40,1.32,B:R16|W:D16|B:Q3|W:D4|B:O16|W:Q5|B:R5,R16·D16·Q3·D4·O16·Q5·R5
