game_id,n_moves,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,move_10,move_11,move_12,move_13,move_14,move_15,move_16,move_17,move_18,move_19,move_20,move_21,move_22,move_23,move_24,move_25,move_26,move_27,move_28,move_29,move_30,sequence
3bde-gokifu-20220111-He_Yuhan-Kim_Jiseok,30,B:Q16,W:D4,B:Q3,W:D16,B:Q5,W:R17,B:Q17,W:R16,B:R14,W:R15,B:Q15,W:S14,B:R18,W:S18,B:S15,W:Q18,B:S17,W:R19,B:S16,W:R18,B:S13,W:Q14,B:R13,W:O17,B:O14,W:M16,B:C3,W:D3,B:C4,W:D5,B:Q16|W:D4|B:Q3|W:D16|B:Q5|W:R17|B:Q17|W:R16|B:R14|W:R15|B:Q15|W:S14|B:R18|W:S18|B:S15|W:Q18|B:S17|W:R19|B:S16|W:R18|B:S13|W:Q14|B:R13|W:O17|B:O14|W:M16|B:C3|W:D3|B:C4|W:D5
3bdf-gokifu-20220111-Shi_Yue-Zhao_Chenyu,30,B:Q16,W:D16,B:Q3,W:D3,B:C17,W:C16,B:D17,W:E16,B:F18,W:R5,B:D5,W:P4,B:P3,W:O4,B:N3,W:C8,B:G17,W:E8,B:R13,W:F4,B:G15,W:O17,B:P18,W:F14,B:G14,W:F12,B:G13,W:F13,B:G12,W:G11,B:Q16|W:D16|B:Q3|W:D3|B:C17|W:C16|B:D17|W:E16|B:F18|W:R5|B:D5|W:P4|B:P3|W:O4|B:N3|W:C8|B:G17|W:E8|B:R13|W:F4|B:G15|W:O17|B:P18|W:F14|B:G14|W:F12|B:G13|W:F13|B:G12|W:G11
3bdg-gokifu-20220111-Chen_Zhengxun-Meng_Tailing,30,B:R16,W:Q4,B:D17,W:C4,B:D14,W:P17,B:Q14,W:F3,B:L17,W:C12,B:D4,W:D3,B:C5,W:E4,B:D5,W:B4,B:C3,W:B5,B:C7,W:C2,B:C10,W:D8,B:D11,W:C8,B:D12,W:R6,B:Q17,W:P13,B:P14,W:N13,B:R16|W:Q4|B:D17|W:C4|B:D14|W:P17|B:Q14|W:F3|B:L17|W:C12|B:D4|W:D3|B:C5|W:E4|B:D5|W:B4|B:C3|W:B5|B:C7|W:C2|B:C10|W:D8|B:D11|W:C8|B:D12|W:R6|B:Q17|W:P13|B:P14|W:N13
3bdk-gokifu-20220112-Rong_Yi-Chen_Xian,30,B:R16,W:Q4,B:D17,W:C4,B:D14,W:P17,B:R6,W:Q15,B:R15,W:Q14,B:R13,W:K17,B:Q13,W:O3,B:E3,W:D3,B:E4,W:C6,B:O13,W:H3,B:N16,W:N18,B:E7,W:H5,B:P6,W:S4,B:N4,W:O4,B:N6,W:H8,B:R16|W:Q4|B:D17|W:C4|B:D14|W:P17|B:R6|W:Q15|B:R15|W:Q14|B:R13|W:K17|B:Q13|W:O3|B:E3|W:D3|B:E4|W:C6|B:O13|W:H3|B:N16|W:N18|B:E7|W:H5|B:P6|W:S4|B:N4|W:O4|B:N6|W:H8
3bdl-gokifu-20220112-Mi_Yuting-Shin_Minjun,30,B:Q16,W:D4,B:Q4,W:D17,B:C15,W:E16,B:F3,W:C6,B:C12,W:R17,B:Q17,W:R16,B:R14,W:S14,B:R13,W:S13,B:R12,W:D14,B:C14,W:K17,B:D3,W:C3,B:C2,W:E3,B:D2,W:E4,B:E2,W:R3,B:Q3,W:R4,B:Q16|W:D4|B:Q4|W:D17|B:C15|W:E16|B:F3|W:C6|B:C12|W:R17|B:Q17|W:R16|B:R14|W:S14|B:R13|W:S13|B:R12|W:D14|B:C14|W:K17|B:D3|W:C3|B:C2|W:E3|B:D2|W:E4|B:E2|W:R3|B:Q3|W:R4
3bdm-gokifu-20220112-Fan_Tingyu-Ding_Hao,30,B:Q16,W:D4,B:R4,W:C16,B:P4,W:F16,B:C3,W:C4,B:D3,W:F3,B:E3,W:E4,B:F2,W:O17,B:H17,W:K17,B:R14,W:D10,B:G3,W:F4,B:B3,W:N3,B:C12,W:B10,B:E11,W:E13,B:D11,W:E10,B:F11,W:F10,B:Q16|W:D4|B:R4|W:C16|B:P4|W:F16|B:C3|W:C4|B:D3|W:F3|B:E3|W:E4|B:F2|W:O17|B:H17|W:K17|B:R14|W:D10|B:G3|W:F4|B:B3|W:N3|B:C12|W:B10|B:E11|W:E13|B:D11|W:E10|B:F11|W:F10
3bdn-gokifu-20220112-Meng_Tailing-Wu_Guangya,30,B:Q16,W:D16,B:Q3,W:D4,B:Q6,W:O17,B:C17,W:D17,B:C16,W:D15,B:C15,W:C13,B:C14,W:D14,B:B13,W:C12,B:B12,W:R14,B:Q14,W:Q13,B:P14,W:R16,B:R17,W:R15,B:O16,W:Q15,B:P16,W:S17,B:Q18,W:R18,B:Q16|W:D16|B:Q3|W:D4|B:Q6|W:O17|B:C17|W:D17|B:C16|W:D15|B:C15|W:C13|B:C14|W:D14|B:B13|W:C12|B:B12|W:R14|B:Q14|W:Q13|B:P14|W:R16|B:R17|W:R15|B:O16|W:Q15|B:P16|W:S17|B:Q18|W:R18
3bdp-gokifu-20220112-Jiang_Weijie-Lee_Donghoon,30,B:Q16,W:D4,B:R4,W:D17,B:O4,W:F3,B:C15,W:F16,B:G4,W:M3,B:C7,W:C5,B:D11,W:E7,B:G3,W:F4,B:K3,W:Q4,B:Q3,W:P3,B:P4,W:Q5,B:R3,W:P2,B:N3,W:N2,B:M4,W:L3,B:L4,W:K2,B:Q16|W:D4|B:R4|W:D17|B:O4|W:F3|B:C15|W:F16|B:G4|W:M3|B:C7|W:C5|B:D11|W:E7|B:G3|W:F4|B:K3|W:Q4|B:Q3|W:P3|B:P4|W:Q5|B:R3|W:P2|B:N3|W:N2|B:M4|W:L3|B:L4|W:K2
3bdq-gokifu-20220112-Tuo_Jiaxi-Yang_Dingxin,30,B:R16,W:D4,B:C16,W:R4,B:O16,W:E17,B:D15,W:C6,B:H17,W:F16,B:D18,W:E14,B:D13,W:J16,B:H16,W:H15,B:J15,W:E13,B:E15,W:G15,B:K16,W:J14,B:K15,W:D12,B:C13,W:K14,B:L14,W:L13,B:M14,W:P17,B:R16|W:D4|B:C16|W:R4|B:O16|W:E17|B:D15|W:C6|B:H17|W:F16|B:D18|W:E14|B:D13|W:J16|B:H16|W:H15|B:J15|W:E13|B:E15|W:G15|B:K16|W:J14|B:K15|W:D12|B:C13|W:K14|B:L14|W:L13|B:M14|W:P17
3bdr-gokifu-20220112-Jiang_Qirun-Li_Weiqing,30,B:Q16,W:D4,B:Q3,W:D17,B:R6,W:F3,B:C15,W:C16,B:D15,W:F17,B:C10,W:R17,B:R16,W:Q17,B:P16,W:P17,B:O17,W:O18,B:G4,W:Q4,B:P4,W:R3,B:R4,W:Q5,B:R5,W:P3,B:Q2,W:O4,B:P5,W:Q6,B:Q16|W:D4|B:Q3|W:D17|B:R6|W:F3|B:C15|W:C16|B:D15|W:F17|B:C10|W:R17|B:R16|W:Q17|B:P16|W:P17|B:O17|W:O18|B:G4|W:Q4|B:P4|W:R3|B:R4|W:Q5|B:R5|W:P3|B:Q2|W:O4|B:P5|W:Q6
