id,grupo,dR2,n_A1,n_cp,min_sep,H1_orig,field_std,min_sep_finite
H_0094,frente1,0.0007453636801045826,1,2,9.914246309433706,0.18812664225299436,0.001182775075914996,9.914246309433706
H_0045,frente1,0.11984058828868771,2,3,13.380923699297387,0.16640153391567336,0.20830974509529004,13.380923699297387
H_0113,frente1,0.28480938594170246,1,2,22.3258559834262,0.17291107697663263,0.8025962874387803,22.3258559834262
H_0042,frente1,0.11533922520239526,2,3,5.228606495038196,0.12038599116640007,0.0008326235939951467,5.228606495038196
H_0143,tardios,0.0838979203096556,2,2,13818.23109195103,0.0,0.01912519497174191,
H_0072,tardios,0.26644909511753057,1,1,inf,0.0,0.26143938273504796,
H_0111,tardios,0.06553929468634001,1,2,5.407588324632785,0.0,0.42227905677107996,5.407588324632785
H_0302,tardios,0.2740409783376174,1,1,inf,0.0,0.021304456998867943,
H_0074,tardios,0.3245952203590984,0,1,inf,0.0,0.07641294371232796,
H_0272,tardios,0.18187065161581306,2,2,11.393300295321504,0.0,0.022569362844151817,11.393300295321504
H_0151,tardios,0.24102629991246083,0,1,inf,0.0,0.0028958591682660905,
H_0013,tardios,0.2489325319322394,2,2,13875.615040243834,0.0,0.040582523626441665,
H_0188,tardios,0.20945902170766229,2,2,4.49211009517878,0.0,0.16444598774468594,4.49211009517878
H_0223,tardios,0.26286396478034,1,1,inf,0.0,0.13265455594455325,
H_0290,medios,0.16355799025812245,2,3,0.334902114754557,0.0,0.22811839568961903,0.334902114754557
H_0271,medios,0.24926665896587508,2,2,13.066482458684948,0.0,0.1534203927159043,13.066482458684948
H_0033,medios,0.14126429252631334,1,1,inf,0.0,0.003644940176683301,
H_0269,medios,0.133482104877363,2,2,5226.14727571531,0.0,0.002689881693176695,
H_0211,medios,0.3213168343509659,2,2,17.4020770910686,0.0,0.08352075455711479,17.4020770910686
H_0185,medios,0.19192399618285594,2,2,33.78305110677173,0.0,0.24227558732744986,33.78305110677173
H_0235,medios,0.08747712936137553,2,2,379.2064381066304,0.0,0.002361546366563943,379.2064381066304
H_0276,medios,0.3510033032093246,2,2,2.5636723329743143,0.0,0.5982316046513174,2.5636723329743143
H_0026,medios,0.2093354285989557,2,2,11.728811335724306,0.0,0.13451901795491905,11.728811335724306
H_0140,medios,0.3216219931760983,0,1,inf,0.0,0.07358060168367074,
H_0282,medios,0.11823015187552666,1,1,inf,0.0,0.19098878548077802,
H_0053,medios,0.16123787357910913,2,2,12383.092039109757,0.0,0.19444072544605823,
H_0016,medios,0.06876688222586391,2,2,142668738524.14905,0.0,0.00299669129151469,
H_0146,medios,0.2594060849365437,1,2,4.230536084581347,0.0,0.158088276938834,4.230536084581347
H_0007,medios,0.20021849454174068,2,2,1216108.7493112313,0.0,0.15996589550236212,
H_0008,medios,0.14705042535927482,1,1,inf,0.0,0.18809802746996235,
H_0291,medios,0.01908162041677708,0,0,inf,0.0,0.1281117417952734,
H_0115,medios,0.3852527892270169,0,1,inf,0.0,0.060557845470075075,
H_0131,medios,0.03139883604958826,2,2,582.2797143944422,0.0,0.1383560233258189,582.2797143944422
H_0038,medios,0.2688637210704031,2,2,33346.15748934452,0.0,0.03608407875217445,
H_0198,medios,0.309361555086325,1,1,inf,0.0,0.13379244722394498,
H_0206,medios,0.0900486587773508,2,2,1049.998599196201,0.0,0.02660742510551716,
H_0095,medios,0.33423289929292854,2,3,8.666417844184942,0.0,0.05684453266523179,8.666417844184942
H_0005,medios,0.26452636942993657,2,2,7.808725269369711,0.0,0.07731625662499912,7.808725269369711
H_0106,medios,0.40791272430120273,2,3,0.4370525740793323,0.0,0.6371390184948246,0.4370525740793323
H_0261,medios,0.12510944660392298,0,0,inf,0.0,0.11973562879225629,
H_0035,medios,0.00029883051678147865,2,2,9.197146952375217,0.0,0.07739155636068921,9.197146952375217
H_0264,medios,0.33155032880112556,1,1,inf,0.0,0.05802664883751452,
H_0086,medios,0.35660948583169905,0,1,inf,0.0,0.019226268758400243,
H_0265,medios,0.08188136506585142,2,2,0.7737688212941098,0.0,0.010387015903754815,0.7737688212941098
