pattern_id,step,n_total,step_norm,is_last,color,go_pos,line_from_edge,n_occ_neighbors,dE_M1_total,dE_M1_stone,cum_E_M1,bond_M1_kj_En2,bond_M1_kj_En1,bond_M1_kj_E0,bond_M1_kj_Ep1,bond_M1_kj_Ep2,bond_M1_jk_En2,bond_M1_jk_En1,bond_M1_jk_E0,bond_M1_jk_Ep1,bond_M1_jk_Ep2,dE_M1_asym,cum_S_M1,dS_M1,dE_AL_total,dE_AL_stone,cum_E_AL,bond_AL_kj_En1,bond_AL_kj_E0,bond_AL_kj_Ep1,cum_S_AL,dS_AL
13b,2,2,1.0,1,-1.0,E4,4,0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.715956,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14b,1,7,0.1429,0,1.0,D6,4,0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022809,2.022809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14b,2,7,0.2857,0,-1.0,C7,3,0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.715956,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14b,3,7,0.4286,0,1.0,C6,3,2,8.0,2.0,8.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,2.93612,0.220165,0.0,0.0,0.0,0.5,0.0,0.5,1.386294,1.386294
14b,4,7,0.5714,0,1.0,B7,2,1,12.0,3.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,3.198437,0.262317,-2.0,-2.0,-2.0,1.0,0.0,0.0,1.791759,0.405465
14b,5,7,0.7143,0,-1.0,B6,2,2,-12.0,-6.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.342306,0.143869,-4.0,-4.0,-6.0,1.0,0.0,0.0,2.302585,0.510826
14b,6,7,0.8571,0,1.0,C5,3,1,8.0,-1.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.524627,0.182322,2.0,2.0,-4.0,0.0,0.0,1.0,2.484907,0.182322
14b,7,7,1.0,1,1.0,C4,3,1,8.0,-1.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.678778,0.154151,2.0,2.0,-2.0,0.0,0.0,1.0,2.639057,0.154151
15b,1,5,0.2,0,1.0,D6,4,0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022809,2.022809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15b,2,5,0.4,0,-1.0,C7,3,0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.715956,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15b,3,5,0.6,0,1.0,D7,3,2,8.0,2.0,8.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,2.93612,0.220165,0.0,0.0,0.0,0.5,0.0,0.5,1.386294,1.386294
15b,4,5,0.8,0,-1.0,D8,2,1,-12.0,-3.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.198437,0.262317,-2.0,-2.0,-2.0,1.0,0.0,0.0,1.791759,0.405465
15b,5,5,1.0,1,1.0,C8,2,2,12.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,3.342306,0.143869,-4.0,-4.0,-6.0,1.0,0.0,0.0,2.302585,0.510826
16b,1,3,0.3333,0,-1.0,D6,4,0,-12.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022809,2.022809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16b,2,3,0.6667,0,-1.0,F7,3,0,-12.0,0.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.715956,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16b,3,3,1.0,1,1.0,H6,2,0,12.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.121421,0.405465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17b,1,6,0.1667,0,1.0,D6,4,0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022809,2.022809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17b,2,6,0.3333,0,-1.0,C7,3,0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.715956,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17b,3,6,0.5,0,1.0,D7,3,2,8.0,2.0,8.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,2.93612,0.220165,0.0,0.0,0.0,0.5,0.0,0.5,1.386294,1.386294
17b,4,6,0.6667,0,-1.0,D8,2,1,-12.0,-3.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.198437,0.262317,-2.0,-2.0,-2.0,1.0,0.0,0.0,1.791759,0.405465
17b,5,6,0.8333,0,1.0,C8,2,2,12.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,3.342306,0.143869,-4.0,-4.0,-6.0,1.0,0.0,0.0,2.302585,0.510826
17b,6,6,1.0,1,-1.0,E8,2,1,-8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.524627,0.182322,2.0,2.0,-4.0,0.0,0.0,1.0,2.484907,0.182322
18b,1,4,0.25,0,1.0,D7,3,0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022809,2.022809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18b,2,4,0.5,0,-1.0,C7,3,1,-12.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.579844,0.557035,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.693147,0.693147
18b,3,4,0.75,0,-1.0,D8,2,1,-12.0,-3.0,-12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.93612,0.356276,-2.0,-2.0,-4.0,1.0,0.0,0.0,1.386294,0.693147
18b,4,4,1.0,1,1.0,C8,2,2,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,3.119162,0.183042,-4.0,-4.0,-8.0,1.0,0.0,0.0,2.079442,0.693147
19b,1,6,0.1667,0,1.0,D6,4,0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022809,2.022809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19b,2,6,0.3333,0,-1.0,C7,3,0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.715956,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19b,3,6,0.5,0,1.0,C6,3,2,8.0,2.0,8.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,2.93612,0.220165,0.0,0.0,0.0,0.5,0.0,0.5,1.386294,1.386294
19b,4,6,0.6667,0,1.0,B7,2,1,12.0,3.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,3.198437,0.262317,-2.0,-2.0,-2.0,1.0,0.0,0.0,1.791759,0.405465
19b,5,6,0.8333,0,-1.0,C8,2,1,-8.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.406109,0.207672,2.0,2.0,0.0,0.0,0.0,1.0,2.079442,0.287682
19b,6,6,1.0,1,-1.0,D7,3,2,-8.0,-2.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.524627,0.118518,0.0,0.0,0.0,0.5,0.0,0.5,2.484907,0.405465
